rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,censor_rate
79,0.05,0.567072337962963,0.33516442187546547,0.3939405147151618,0.39381861482186875,-0.00012189989329303152,0.06676388888888889
80,0.05,0.5610375,0.23511675022563228,0.27167158169107497,0.27167158169107497,0.0,0.06633333333333333
81,0.05,0.5710053240740741,0.1505170993912619,0.28192972255275517,0.28163041184101023,-0.00029931071174493784,0.06752777777777778
82,0.05,0.5506586805555557,0.02827358332368546,0.35709394156144103,0.35763834955639573,0.0005444079949546987,0.06491666666666666
83,0.05,0.5713811342592593,0.14957036642514976,0.2435121206360671,0.2430379767943931,-0.0004741438416739907,0.06656944444444444
84,0.05,0.5630719907407408,0.23820234843439758,0.2269624769695705,0.22701194232317468,4.946535360417226e-05,0.066875
85,0.05,0.5613417824074074,0.4413419007067487,0.4545511514540037,0.4545147287516451,-3.6422702358596126e-05,0.06668055555555556
86,0.05,0.5635857638888888,0.10036275938954864,0.16429806414274828,0.16505007570066266,0.0007520115579143782,0.06547222222222222
87,0.05,0.5795623842592593,0.29395541755263,0.40559822382619626,0.4056225245726637,2.430074646742053e-05,0.06825
88,0.05,0.5756813657407407,0.24815678429593946,0.3363345826389762,0.3361017617437432,-0.0002328208952330213,0.06748611111111111
89,0.05,0.5435482638888888,0.3267203750544293,0.3248382331691182,0.32380794217291375,-0.0010302909962044415,0.06341666666666666
90,0.05,0.5673608796296297,0.14062352229636932,0.21754944924855113,0.21705875639800898,-0.0004906928505421515,0.06645833333333333
91,0.05,0.5728585648148148,0.208254783998713,0.2252940923607072,0.22521850145275535,-7.559090795183909e-05,0.06709722222222222
92,0.05,0.5642489583333333,0.3919730746944927,0.3590811377533628,0.35918345203932667,0.00010231428596385594,0.06730555555555555
93,0.05,0.5634858796296296,0.275343241991025,0.32480147839671347,0.32480147839671347,0.0,0.06705555555555555
94,0.05,0.5691122685185185,0.2850124736364955,0.2554382869721513,0.2554382869721513,0.0,0.06726388888888889
95,0.05,0.5652778935185184,0.21976501487334443,0.2566296235829537,0.25571902338594976,-0.0009106001970039523,0.06686111111111111
96,0.05,0.5702832175925926,0.2596927512893624,0.30179034407953254,0.30145712774233846,-0.0003332163371940755,0.06815277777777778
97,0.05,0.5453373842592594,0.34814447430858375,0.36934493903286736,0.36934493903286736,0.0,0.06393055555555556
98,0.05,0.5605627314814815,0.23144113321440052,0.30834798043046174,0.3089689434133328,0.000620962982871065,0.06497222222222222
