rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,r2_pooled,r2_pooled_mask,mask_gain_pooled,inflation,censor_rate
62,0.0,0.4959804398148148,0.2898214964768525,0.3479345380567622,0.3479345380567622,0.0,0.3786031209614861,0.3786031209614861,0.0,0.03066858290472385,0.05
63,0.0,0.5047111111111111,0.232799586498321,0.2998083792248817,0.2998083792248817,0.0,0.32746169349954957,0.32746169349954957,0.0,0.027653314274667884,0.05
64,0.0,0.5109465277777777,0.2300810940816257,0.24525025698420766,0.24525025698420766,0.0,0.2582448184829669,0.2582448184829669,0.0,0.012994561498759216,0.05
65,0.0,0.4899809027777778,0.2105272134884526,0.27098548421557667,0.27098548421557667,0.0,0.244803626865715,0.244803626865715,0.0,-0.02618185734986167,0.05
66,0.0,0.49181030092592587,0.21849194350518075,0.31174197756503863,0.31174197756503863,0.0,0.33897421384871496,0.33897421384871496,0.0,0.027232236283676325,0.05
67,0.0,0.48726099537037043,0.1763585476127223,0.3418836426529782,0.3418836426529782,0.0,0.3478551395188195,0.3478551395188195,0.0,0.005971496865841308,0.05
68,0.0,0.4945208333333333,0.23675030165305722,0.2909638108977204,0.2909638108977204,0.0,0.3633896440899367,0.3633896440899367,0.0,0.0724258331922163,0.05
69,0.0,0.503590625,0.06337004498475285,0.1674424997561922,0.1674424997561922,0.0,0.1176438345969738,0.1176438345969738,0.0,-0.04979866515921838,0.05
70,0.0,0.4960055555555556,0.2619698841631589,0.386335149876028,0.386335149876028,0.0,0.3615985260549128,0.3615985260549128,0.0,-0.02473662382111519,0.05
71,0.0,0.5050042824074074,-0.014108175561833525,0.22821270070414235,0.22821270070414235,0.0,0.1801717038856946,0.1801717038856946,0.0,-0.048040996818447756,0.05
72,0.0,0.4893222222222222,0.28941391431021046,0.4212475856264335,0.4212475856264335,0.0,0.39691508641790274,0.39691508641790274,0.0,-0.024332499208530756,0.05
73,0.0,0.5040062500000001,0.22162310451775025,0.29916184979477956,0.29916184979477956,0.0,0.30583491795326445,0.30583491795326445,0.0,0.006673068158484896,0.05
74,0.0,0.5097443287037037,0.20169233536535014,0.2934786805452404,0.2934786805452404,0.0,0.24718928985476285,0.24718928985476285,0.0,-0.04628939069047755,0.05
75,0.0,0.4928049768518519,0.3601441300939344,0.43562064377369614,0.43562064377369614,0.0,0.4093239541947722,0.4093239541947722,0.0,-0.02629668957892395,0.05
76,0.0,0.5066269675925925,0.06613328133123075,0.14525847547535775,0.14525847547535775,0.0,0.1894615285397553,0.1894615285397553,0.0,0.044203053064397535,0.05
77,0.0,0.49997696759259264,0.24595551116983894,0.35128604286626075,0.35128604286626075,0.0,0.41052130678456067,0.41052130678456067,0.0,0.05923526391829992,0.05
78,0.0,0.5009511574074074,0.20026300743658598,0.27861967792328324,0.27861967792328324,0.0,0.27128817372311076,0.27128817372311076,0.0,-0.007331504200172478,0.05
79,0.0,0.4739199074074074,0.13062097119098748,0.24105772809987014,0.24105772809987014,0.0,0.2639898540534471,0.2639898540534471,0.0,0.022932125953576965,0.05
80,0.0,0.4914289351851851,0.29478776135722395,0.3892510590429097,0.3892510590429097,0.0,0.3782734414410772,0.3782734414410772,0.0,-0.010977617601832468,0.05
81,0.0,0.5031790509259259,0.1724640385511942,0.273311595226707,0.273311595226707,0.0,0.30461985324172014,0.30461985324172014,0.0,0.031308258015013135,0.05
82,0.0,0.4900211805555556,0.2286489240216314,0.3046904004220389,0.3046904004220389,0.0,0.29630842737925933,0.29630842737925933,0.0,-0.008381973042779545,0.05
83,0.0,0.5038766203703703,0.409257445389659,0.3873596681147905,0.3873596681147905,0.0,0.44375097513439155,0.44375097513439155,0.0,0.056391307019601045,0.05
