element,method_a,method_b,lod_a,lod_b,lod_ratio,n_rows,n_censored_a,n_censored_b,n_a_censored_b_measured,n_b_censored_a_measured,n_discordant,discordant_pct,n_both_measured,n_agreement_global,spearman_rho_global,median_log10_ratio_global,n_agreement_near_limit,spearman_rho,median_log10_ratio,comparable,n_below_censoring_lod,n_above_censoring_lod,threshold_consistent_pct,median_value_over_lod,directionality
Ba,AR,ICP-MS,0.5,0.5,1.0,1315,1,0,1,0,1,0.076,1311,1311,0.565,0.619,0,,,False,0,1,0.0,7.2,1.0
Ba,AR,MMI-ME,0.5,0.01,50.0,1315,1,4,1,4,5,0.38,1308,1308,0.589,-1.798,33,0.029,-1.114,False,1,4,20.0,1770.0,0.8
Ba,ICP-MS,MMI-ME,0.5,0.01,50.0,1315,0,4,0,4,4,0.304,1309,1309,0.296,-2.473,1,,,False,0,4,0.0,35350.0,1.0
Be,AR,ICP-MS,0.1,1.1,11.0,1315,82,567,12,496,508,38.631,734,734,0.398,0.325,721,0.397,0.32,False,491,17,96.65,0.273,0.976
Bi,AR,ICP-MS,0.02,0.02,1.0,1315,50,56,41,47,88,6.692,1215,1215,0.835,0.176,665,0.73,0.176,False,0,88,0.0,3.25,0.534
Bi,AR,MMI-ME,0.02,0.001,20.0,1315,50,1258,2,1209,1211,92.091,54,54,0.261,-1.846,19,0.231,-1.505,False,2,1209,0.17,120.0,0.998
Bi,ICP-MS,MMI-ME,0.02,0.001,20.0,1315,56,1258,3,1204,1207,91.787,53,53,0.32,-2.041,9,,,False,3,1204,0.25,180.0,0.998
Ca,AR,MMI-ME,100.0,10.0,10.0,1315,55,4,53,2,55,4.183,1256,1256,0.688,-0.757,362,0.665,-0.441,False,36,19,65.45,0.6,0.964
Ca,AR,XRF,100.0,14.0,7.143,1315,55,0,55,0,55,4.183,1257,1257,0.879,0.079,219,0.638,0.176,False,0,55,0.0,3.93,1.0
Ca,MMI-ME,XRF,10.0,14.0,1.4,1315,4,0,4,0,4,0.304,1309,1309,0.607,0.902,0,,,False,0,4,0.0,27.5,1.0
Cd,AR,ICP-MS,0.01,0.1,10.0,1315,245,916,46,716,762,57.947,351,351,0.157,0.38,343,0.136,0.38,False,638,124,83.73,0.4,0.94
Cd,AR,MMI-ME,0.01,0.001,10.0,1315,245,130,192,77,269,20.456,991,991,0.46,-0.854,818,0.351,-0.845,False,177,92,65.8,0.4,0.714
Cd,ICP-MS,MMI-ME,0.1,0.001,100.0,1315,916,130,817,31,848,64.487,366,366,0.031,-1.347,146,0.18,-0.86,False,815,33,96.11,0.05,0.963
Ce,AR,ICP-MS,0.01,0.03,3.0,1315,0,0,0,0,0,0.0,1312,1312,0.896,0.154,0,,,False,0,0,,,
