k_features,draw,balanced_accuracy,balanced_accuracy_normalised,balanced_accuracy_null,balanced_accuracy_null_normalised,retention_disparity,retention_disparity_null,retention_pct_lowest_survey,retention_pct_highest_survey,retention_pct_pooled,retention_pct_GEMAS,retention_pct_NASGL,retention_pct_NGSA
5,46,0.3333333333333333,0.0,0.3333333333333333,0.0,1.7893080530911532,1.009999469134701,53.05744286596664,94.93610979649787,64.04345202172601,94.93610979649787,53.05744286596664,54.980988593155885
5,47,0.3333333333333333,0.0,0.3333333333333333,0.0,1.1327077173895441,1.0040040610094005,87.00844142474779,98.5551330798479,91.76825588412795,98.48556554661619,87.00844142474779,98.5551330798479
5,48,0.3333333333333333,0.0,0.3333333333333333,0.0,3.1382718133973224,1.0015651787919477,30.26615969581749,94.98343587316612,74.84610742305371,94.98343587316612,78.15523985999589,30.26615969581749
5,49,0.47170616141605753,0.41511848424817266,0.3333333333333333,0.0,25.82117525060491,1.0576778035244971,2.2647724933086266,58.479087452471475,21.774290887145444,43.776620918125886,2.2647724933086266,58.479087452471475
5,50,0.5657605750053559,0.6972817250160679,0.3333333333333333,0.0,4.169059773294308,1.025118902584424,23.49809885931559,97.9649787032655,83.36753168376583,97.9649787032655,93.22627136092237,23.49809885931559
5,51,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0213968933982118,1.0029727794835899,97.67346098414659,99.76336961665878,98.50331925165963,99.76336961665878,97.67346098414659,99.54372623574145
5,52,0.659395710537982,0.978187131613946,0.3333333333333333,0.0,340.3610641606382,1.071855457473165,0.2882437718756434,98.10695693327023,25.25045262522631,98.10695693327023,0.2882437718756434,0.38022813688212925
5,53,0.3872382588155598,0.16171477644667942,0.3333333333333333,0.0,1.2203612190316866,1.008683845045846,81.74904942965779,99.76336961665878,95.82377791188895,99.76336961665878,97.92052707432572,81.74904942965779
5,54,0.46907971012790917,0.40723913038372755,0.3333333333333333,0.0,1.786739902840418,1.0128244388148067,54.82889733840304,97.9649787032655,89.70428485214242,97.9649787032655,95.55281037677578,54.82889733840304
5,55,0.46985936935006595,0.4095781080501979,0.3333333333333333,0.0,14.002097194770005,1.05593252211882,3.1500926497838173,44.1079034548036,17.27217863608932,44.1079034548036,3.1500926497838173,26.311787072243348
5,56,0.3333333333333333,0.0,0.3333333333333333,0.0,3.461446729443438,1.0142351032269008,28.8212927756654,99.76336961665878,74.0012070006035,99.76336961665878,75.02573605106032,28.8212927756654
5,57,0.3333333333333333,0.0,0.3333333333333333,0.0,1.01989199374471,1.0024686304856678,97.81758287008442,99.76336961665878,98.61194930597466,99.76336961665878,97.81758287008442,99.69581749049429
5,58,0.3333333333333333,0.0,0.3333333333333333,0.0,1.3400289177314229,1.0170549146187533,74.44866920152091,99.76336961665878,91.38201569100785,99.76336961665878,92.32036236359893,74.44866920152091
5,59,0.5397798063918304,0.6193394191754914,0.3333333333333333,0.0,6.126705232058592,1.0500588627221128,15.665399239543726,95.97728348319924,72.4562462281231,95.97728348319924,77.59934115709287,15.665399239543726
5,60,0.43586753520783117,0.30760260562349356,0.3333333333333333,0.0,1.6543358265561956,1.006678311537942,60.3041825095057,99.76336961665878,88.4007242003621,99.76336961665878,91.06444307185505,60.3041825095057
5,61,0.6589224497712995,0.9767673493138987,0.3333333333333333,0.0,339.86850111554327,1.0370463670184258,0.2882437718756434,97.9649787032655,25.25045262522631,97.9649787032655,0.2882437718756434,0.6083650190114068
5,62,0.3333333333333333,0.0,0.3333333333333333,0.0,1.7598333461083264,1.0210244325636084,55.42515956351658,97.5390440132513,72.14242607121304,97.5390440132513,55.42515956351658,93.07984790874525
5,63,0.47014723635817157,0.41044170907451477,0.3333333333333333,0.0,17.76637628146508,1.16661284441898,3.253036854025118,57.79467680608364,22.377791188895593,44.29720776147658,3.253036854025118,57.79467680608364
5,64,0.3333333333333333,0.0,0.3333333333333333,0.0,4.613807297749117,1.0302016376706475,21.140684410646386,97.5390440132513,60.51901025950514,97.5390440132513,55.075149269096144,21.140684410646386
5,65,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0718041752116527,1.005770567455125,93.07984790874525,99.76336961665878,96.64453832226916,99.76336961665878,96.25283096561662,93.07984790874525
5,66,0.3333333333333333,0.0,0.3333333333333333,0.0,2.6967976021454487,1.0220738435717207,35.5893536121673,95.97728348319924,75.94447797223899,95.97728348319924,78.15523985999589,35.5893536121673
5,67,0.3333333333333333,0.0,0.3333333333333333,0.0,3.5836291213125095,1.021002572417402,27.376425855513308,98.10695693327023,73.04767652383826,98.10695693327023,74.51101502985382,27.376425855513308
5,68,0.3333333333333333,0.0,0.3333333333333333,0.0,1.1319081681493488,1.0223627799474801,87.00844142474779,98.48556554661619,91.61134580567291,98.48556554661619,87.00844142474779,97.56653992395438
